mode,customers,tasks,repeat,elapsed_ms,remote,correct
serial,10000,12,0,2.566,0,true
threads,10000,12,0,2.178,0,true
mesh,10000,12,0,80.628,2,true
serial,10000,12,1,2.316,0,true
threads,10000,12,1,1.952,0,true
mesh,10000,12,1,86.997,2,true
serial,10000,12,2,2.490,0,true
threads,10000,12,2,1.440,0,true
mesh,10000,12,2,92.278,2,true
serial,1000000,12,0,72.463,0,true
threads,1000000,12,0,14.567,0,true
mesh,1000000,12,0,96.332,2,true
serial,1000000,12,1,39.361,0,true
threads,1000000,12,1,13.888,0,true
mesh,1000000,12,1,87.273,2,true
serial,1000000,12,2,39.941,0,true
threads,1000000,12,2,14.977,0,true
mesh,1000000,12,2,100.084,2,true
serial,10000000,12,0,382.117,0,true
threads,10000000,12,0,141.865,0,true
mesh,10000000,12,0,406.576,5,true
serial,10000000,12,1,394.542,0,true
threads,10000000,12,1,137.818,0,true
mesh,10000000,12,1,300.829,4,true
serial,10000000,12,2,396.844,0,true
threads,10000000,12,2,137.673,0,true
mesh,10000000,12,2,345.217,5,true
serial,100000000,12,0,3959.528,0,true
threads,100000000,12,0,1374.660,0,true
mesh,100000000,12,0,2034.380,6,true
serial,100000000,12,1,3980.183,0,true
threads,100000000,12,1,1396.250,0,true
mesh,100000000,12,1,2059.412,6,true
serial,100000000,12,2,3989.700,0,true
threads,100000000,12,2,1379.614,0,true
mesh,100000000,12,2,2031.250,6,true
