mode,customers,tasks,repeat,elapsed_ms,remote,correct
serial,10000,12,0,2.435,0,true
threads,10000,12,0,2.316,0,true
mesh,10000,12,0,13.444,2,true
serial,10000,12,1,2.883,0,true
threads,10000,12,1,4.342,0,true
mesh,10000,12,1,13.334,2,true
serial,10000,12,2,2.029,0,true
threads,10000,12,2,1.092,0,true
mesh,10000,12,2,13.890,2,true
serial,1000000,12,0,59.933,0,true
threads,1000000,12,0,14.430,0,true
mesh,1000000,12,0,36.380,5,true
serial,1000000,12,1,37.393,0,true
threads,1000000,12,1,13.927,0,true
mesh,1000000,12,1,30.866,5,true
serial,1000000,12,2,38.006,0,true
threads,1000000,12,2,13.858,0,true
mesh,1000000,12,2,31.620,6,true
serial,10000000,12,0,389.493,0,true
threads,10000000,12,0,137.444,0,true
mesh,10000000,12,0,204.194,6,true
serial,10000000,12,1,390.338,0,true
threads,10000000,12,1,138.091,0,true
mesh,10000000,12,1,209.031,6,true
serial,10000000,12,2,388.409,0,true
threads,10000000,12,2,140.171,0,true
mesh,10000000,12,2,204.259,6,true
serial,100000000,12,0,3940.993,0,true
threads,100000000,12,0,1377.017,0,true
mesh,100000000,12,0,2050.398,6,true
serial,100000000,12,1,4085.756,0,true
threads,100000000,12,1,1378.174,0,true
mesh,100000000,12,1,2049.060,6,true
serial,100000000,12,2,4015.530,0,true
threads,100000000,12,2,1389.292,0,true
mesh,100000000,12,2,2029.615,6,true
